,GENE ID,LOCUS TAG,PRODUCT NAME,SCAFFOLD ID,GENE SEQ LENGTH,READS COUNT,COVERAGE, MEDIAN,READS COUNT ANTISENSE,COVERAGE ANTISENSE,MEDIAN ANTISENSE
14940,3300048829 assembled Ga0498908_31361_3_464,,nitrous-oxide reductase,Ga0498908_31361,462,23,3.9074882782572e-09,6.0,0,0.0,0.0
15318,3300048829 assembled Ga0498908_07907_3_851,,nitrous-oxide reductase,Ga0498908_07907,849,60,5.54696446321963e-09,11.0,0,0.0,0.0
16404,3300048829 assembled Ga0498908_76434_1_315,,nitrous-oxide reductase,Ga0498908_76434,315,8,1.9933853245602e-09,4.0,0,0.0,0.0
16630,3300048829 assembled Ga0498908_44298_2_400,,nitrous-oxide reductase,Ga0498908_44298,399,11,2.16387222731863e-09,4.0,0,0.0,0.0
17286,3300048829 assembled Ga0498908_04378_3_890,,nitrous-oxide reductase,Ga0498908_04378,888,276,2.43953997912814e-08,43.0,0,0.0,0.0
18270,3300048829 assembled Ga0498908_53256_1_348,,nitrous-oxide reductase,Ga0498908_53256,348,19,4.2853488388982605e-09,7.0,0,0.0,0.0
18386,3300048829 assembled Ga0498908_35403_2_439,,nitrous-oxide reductase,Ga0498908_35403,438,11,1.9711986728313603e-09,4.0,0,0.0,0.0
19056,3300048829 assembled Ga0498908_31922_14_460,,nitrous-oxide reductase,Ga0498908_31922,447,20,3.5118365617251804e-09,7.0,0,0.0,0.0
19376,3300048829 assembled Ga0498908_23821_2_523,,nitrous-oxide reductase,Ga0498908_23821,522,63,9.472876380722482e-09,17.0,0,0.0,0.0
19787,3300048829 assembled Ga0498908_74729_2_319,,nitrous-oxide reductase,Ga0498908_74729,318,7,1.7277573273015802e-09,3.0,0,0.0,0.0
20252,3300048829 assembled Ga0498908_24143_2_499,,nitrous-oxide reductase,Ga0498908_24143,498,10,1.5760953243887101e-09,3.0,0,0.0,0.0
20796,3300048829 assembled Ga0498908_42925_7_405,,nitrous-oxide reductase,Ga0498908_42925,399,10,1.9671565702896703e-09,4.0,0,0.0,0.0
20950,3300048829 assembled Ga0498908_09087_2_802,,nitrous-oxide reductase,Ga0498908_09087,801,146,1.43064592816048e-08,30.0,0,0.0,0.0
21350,3300048829 assembled Ga0498908_19941_1_567,,nitrous-oxide reductase,Ga0498908_19941,567,79,1.09359333777955e-08,23.0,0,0.0,0.0
21586,3300048829 assembled Ga0498908_01045_311_1825,,nitrous-oxide reductase,Ga0498908_01045,1515,187,9.688148724687981e-09,17.0,0,0.0,0.0
21758,3300048829 assembled Ga0498908_07708_262_861,,nitrous-oxide reductase,Ga0498908_07708,600,194,2.5378286913307e-08,48.0,0,0.0,0.0
22502,3300048829 assembled Ga0498908_84610_2_262,,nitrous-oxide reductase,Ga0498908_84610,261,11,3.30798857739515e-09,6.0,0,0.0,0.0
23869,3300048829 assembled Ga0498908_01443_3_1151,,nitrous-oxide reductase,Ga0498908_01443,1149,58,3.96204850736671e-09,8.0,0,0.0,0.0
23898,3300048829 assembled Ga0498908_84976_2_217,,nitrous-oxide reductase,Ga0498908_84976,216,28,1.01745709274427e-08,23.0,2,7.26755066245905e-10,2.0
24517,3300048829 assembled Ga0498908_06872_1_885,,nitrous-oxide reductase,Ga0498908_06872,885,111,9.84445167701232e-09,22.0,0,0.0,0.0
24809,3300048829 assembled Ga0498908_84793_1_240,,nitrous-oxide reductase,Ga0498908_84793,240,77,2.51820630454206e-08,53.0,0,0.0,0.0
25225,3300048829 assembled Ga0498908_09801_1_777,,nitrous-oxide reductase,Ga0498908_09801,777,30,3.0304844461219203e-09,6.0,0,0.0,0.0
26327,3300048829 assembled Ga0498908_15697_7_630,,nitrous-oxide reductase,Ga0498908_15697,624,81,1.01885469864089e-08,17.0,2,2.51569061392813e-10,0.0
26669,3300048829 assembled Ga0498908_18325_243_590,,nitrous-oxide reductase,Ga0498908_18325,348,56,1.26305018409633e-08,23.0,0,0.0,0.0
27926,3300048829 assembled Ga0498908_05787_3_977,,nitrous-oxide reductase,Ga0498908_05787,975,67,5.3936406762619106e-09,8.0,0,0.0,0.0
29116,3300048829 assembled Ga0498908_18028_2_124,,nitrous-oxide reductase,Ga0498908_18028,123,4,2.5525055985222e-09,3.0,0,0.0,0.0
29316,3300048829 assembled Ga0498908_24337_1_519,,nitrous-oxide reductase,Ga0498908_24337,519,14,2.11725175368749e-09,4.0,0,0.0,0.0
29944,3300048829 assembled Ga0498908_13489_140_673,,nitrous-oxide reductase,Ga0498908_13489,534,49,7.20222436436953e-09,11.0,0,0.0,0.0
30722,3300048829 assembled Ga0498908_67116_34_333,,nitrous-oxide reductase,Ga0498908_67116,300,9,2.35468641463673e-09,4.5,0,0.0,0.0
32384,3300048829 assembled Ga0498908_19003_37_579,,nitrous-oxide reductase,Ga0498908_19003,543,20,2.8909593795417203e-09,6.0,0,0.0,0.0
32526,3300048829 assembled Ga0498908_85019_3_218,,nitrous-oxide reductase,Ga0498908_85019,216,11,3.9971528643524704e-09,8.0,0,0.0,0.0
32615,3300048829 assembled Ga0498908_84309_1_264,,nitrous-oxide reductase,Ga0498908_84309,264,26,7.73003115916099e-09,15.0,0,0.0,0.0
32974,3300048829 assembled Ga0498908_74116_10_318,,nitrous-oxide reductase,Ga0498908_74116,309,7,1.7780803562521202e-09,3.0,0,0.0,0.0
35310,3300048829 assembled Ga0498908_66079_2_337,,nitrous-oxide reductase,Ga0498908_66079,336,10,2.3359984272189804e-09,4.0,0,0.0,0.0
35604,3300048829 assembled Ga0498908_62626_3_317,,nitrous-oxide reductase,Ga0498908_62626,315,16,3.98677064912039e-09,7.0,0,0.0,0.0
38368,3300048829 assembled Ga0498908_83032_1_303,,nitrous-oxide reductase,Ga0498908_83032,303,8,2.07233127800812e-09,4.0,0,0.0,0.0
39589,3300048829 assembled Ga0498908_80117_2_304,,nitrous-oxide reductase,Ga0498908_80117,303,15,3.88562114626523e-09,7.0,0,0.0,0.0
40429,3300048829 assembled Ga0498908_17826_3_476,,nitrous-oxide reductase,Ga0498908_17826,474,32,5.298872381742291e-09,9.0,0,0.0,0.0
40680,3300048829 assembled Ga0498908_04242_473_1117,,nitrous-oxide reductase,Ga0498908_04242,645,22,2.6771628486825903e-09,4.0,0,0.0,0.0
40769,3300048829 assembled Ga0498908_32186_1_459,,nitrous-oxide reductase,Ga0498908_32186,459,66,1.12860786758188e-08,24.0,0,0.0,0.0
42323,3300048829 assembled Ga0498908_63230_11_343,,nitrous-oxide reductase,Ga0498908_63230,333,19,4.47838257038017e-09,8.0,0,0.0,0.0
43149,3300048829 assembled Ga0498908_11866_38_712,,nitrous-oxide reductase,Ga0498908_11866,675,16,1.8604929695895202e-09,3.0,0,0.0,0.0
43412,3300048829 assembled Ga0498908_31886_3_461,,nitrous-oxide reductase,Ga0498908_31886,459,10,1.7100119205786e-09,3.0,0,0.0,0.0
44857,3300048829 assembled Ga0498908_25916_370_504,,nitrous-oxide reductase,Ga0498908_25916,135,37,2.15119499608788e-08,32.0,0,0.0,0.0
44864,3300048829 assembled Ga0498908_24670_6_515,,nitrous-oxide reductase,Ga0498908_24670,510,27,4.155328967006e-09,7.0,0,0.0,0.0
45626,3300048829 assembled Ga0498908_70240_3_329,,nitrous-oxide reductase,Ga0498908_70240,327,12,2.8803503542957e-09,4.0,0,0.0,0.0
46155,3300048829 assembled Ga0498908_84991_1_228,,nitrous-oxide reductase,Ga0498908_84991,228,24,8.2620575952166e-09,14.0,0,0.0,0.0
46274,3300048829 assembled Ga0498908_14449_3_653,,nitrous-oxide reductase,Ga0498908_14449,651,22,2.65248853671316e-09,5.0,0,0.0,0.0
46943,3300048829 assembled Ga0498908_35359_3_440,,nitrous-oxide reductase,Ga0498908_35359,438,29,5.196796501100851e-09,11.0,0,0.0,0.0
47107,3300048829 assembled Ga0498908_68445_51_332,,nitrous-oxide reductase,Ga0498908_68445,282,15,4.17497591247647e-09,8.0,0,0.0,0.0
48872,3300048829 assembled Ga0498908_61020_3_347,,nitrous-oxide reductase,Ga0498908_61020,345,29,6.59767207965847e-09,12.0,0,0.0,0.0
49144,3300048829 assembled Ga0498908_18028_356_592,,nitrous-oxide reductase,Ga0498908_18028,237,46,1.52342580975091e-08,15.0,0,0.0,0.0
50321,3300048829 assembled Ga0498908_15388_1_606,,nitrous-oxide reductase,Ga0498908_15388,606,15,1.9428105731326203e-09,3.0,0,0.0,0.0
50391,3300048829 assembled Ga0498908_46120_2_388,,nitrous-oxide reductase,Ga0498908_46120,387,40,8.11261469297754e-09,18.0,0,0.0,0.0
51620,3300048829 assembled Ga0498908_84571_2_265,,nitrous-oxide reductase,Ga0498908_84571,264,38,1.12977378480045e-08,20.5,0,0.0,0.0
51740,3300048829 assembled Ga0498908_41198_3_134,,nitrous-oxide reductase,Ga0498908_41198,132,9,5.3515600332653e-09,2.0,0,0.0,0.0
53303,3300048829 assembled Ga0498908_22091_408_542,,nitrous-oxide reductase,Ga0498908_22091,135,17,9.8838689009443e-09,11.0,0,0.0,0.0
53484,3300048829 assembled Ga0498908_06046_298_960,,nitrous-oxide reductase,Ga0498908_06046,663,46,5.4457302701503104e-09,8.0,0,0.0,0.0
54777,3300048829 assembled Ga0498908_84480_1_255,,nitrous-oxide reductase,Ga0498908_84480,255,25,7.6950536426037e-09,14.0,0,0.0,0.0
55012,3300048829 assembled Ga0498908_04195_21_1121,,nitrous-oxide reductase,Ga0498908_04195,1101,51,3.6357555902656204e-09,6.0,0,0.0,0.0
55761,3300048829 assembled Ga0498908_84923_1_240,,nitrous-oxide reductase,Ga0498908_84923,240,43,1.40627105318583e-08,33.0,0,0.0,0.0
55863,3300048829 assembled Ga0498908_84840_2_247,,nitrous-oxide reductase,Ga0498908_84840,246,37,1.18053383931652e-08,28.0,0,0.0,0.0
57402,3300048829 assembled Ga0498908_78818_1_309,,nitrous-oxide reductase,Ga0498908_78818,309,28,7.112321425008461e-09,13.0,0,0.0,0.0
61977,3300048829 assembled Ga0498908_30127_44_472,,nitrous-oxide reductase,Ga0498908_30127,429,18,3.2932677127786404e-09,6.0,0,0.0,0.0
62838,3300048829 assembled Ga0498908_05725_3_983,,nitrous-oxide reductase,Ga0498908_05725,981,72,5.760700708591391e-09,9.0,0,0.0,0.0
63114,3300048829 assembled Ga0498908_61577_3_347,,nitrous-oxide reductase,Ga0498908_61577,345,22,5.00513054318919e-09,7.0,0,0.0,0.0
63656,3300048829 assembled Ga0498908_11271_30_728,,nitrous-oxide reductase,Ga0498908_11271,699,64,7.186453530603281e-09,13.0,0,0.0,0.0
64392,3300048829 assembled Ga0498908_36719_3_431,,nitrous-oxide reductase,Ga0498908_36719,429,26,4.75694225179138e-09,8.0,0,0.0,0.0
64936,3300048829 assembled Ga0498908_23001_2_532,,nitrous-oxide reductase,Ga0498908_23001,531,27,3.9909939231131e-09,7.0,0,0.0,0.0
64988,3300048829 assembled Ga0498908_85133_2_214,,nitrous-oxide reductase,Ga0498908_85133,213,10,3.6849552654721902e-09,7.0,0,0.0,0.0
67003,3300048829 assembled Ga0498908_19900_1_567,,nitrous-oxide reductase,Ga0498908_19900,567,47,6.50618821210619e-09,13.0,0,0.0,0.0
67138,3300048829 assembled Ga0498908_03582_4_1191,,nitrous-oxide reductase,Ga0498908_03582,1188,40,2.6427456954396504e-09,4.0,0,0.0,0.0
67409,3300048829 assembled Ga0498908_36567_3_419,,nitrous-oxide reductase,Ga0498908_36567,417,9,1.6940190033357801e-09,3.0,0,0.0,0.0
67763,3300048829 assembled Ga0498908_61568_3_347,,nitrous-oxide reductase,Ga0498908_61568,345,29,6.59767207965847e-09,12.0,0,0.0,0.0
68180,3300048829 assembled Ga0498908_36665_3_434,,nitrous-oxide reductase,Ga0498908_36665,432,24,4.36053039747543e-09,8.0,0,0.0,0.0
68388,3300048829 assembled Ga0498908_51459_3_368,,nitrous-oxide reductase,Ga0498908_51459,366,25,5.3613078657484804e-09,7.5,0,0.0,0.0
68597,3300048829 assembled Ga0498908_49786_2_379,,nitrous-oxide reductase,Ga0498908_49786,378,16,3.32230887426699e-09,5.0,0,0.0,0.0
69024,3300048829 assembled Ga0498908_85175_1_210,,nitrous-oxide reductase,Ga0498908_85175,210,28,1.0465272953941e-08,25.5,0,0.0,0.0
70956,3300048829 assembled Ga0498908_84310_1_285,,nitrous-oxide reductase,Ga0498908_84310,285,21,5.783440316651621e-09,11.0,0,0.0,0.0
72795,3300048829 assembled Ga0498908_76926_2_313,,nitrous-oxide reductase,Ga0498908_76926,312,4,1.00627624557125e-09,2.0,0,0.0,0.0
72863,3300048829 assembled Ga0498908_69994_3_329,,nitrous-oxide reductase,Ga0498908_69994,327,4,9.60116784765232e-10,2.0,0,0.0,0.0
72916,3300048829 assembled Ga0498908_68320_1_315,,nitrous-oxide reductase,Ga0498908_68320,315,13,3.2392511524103203e-09,6.0,0,0.0,0.0
75521,3300048829 assembled Ga0498908_69513_1_330,,nitrous-oxide reductase,Ga0498908_69513,330,6,1.4270826755374102e-09,2.0,0,0.0,0.0
75822,3300048829 assembled Ga0498908_22228_3_539,,nitrous-oxide reductase,Ga0498908_22228,537,39,5.70035817323603e-09,11.0,0,0.0,0.0
76098,3300048829 assembled Ga0498908_84851_1_246,,nitrous-oxide reductase,Ga0498908_84851,246,25,7.976579995381881e-09,15.0,0,0.0,0.0
77131,3300048829 assembled Ga0498908_12943_2_685,,nitrous-oxide reductase,Ga0498908_12943,684,62,7.1145495958809605e-09,14.0,0,0.0,0.0
77323,3300048829 assembled Ga0498908_61160_2_349,,nitrous-oxide reductase,Ga0498908_61160,348,14,3.1576254602408304e-09,6.0,0,0.0,0.0
78268,3300048829 assembled Ga0498908_28160_1_486,,nitrous-oxide reductase,Ga0498908_28160,486,52,8.398058543286011e-09,14.0,0,0.0,0.0
78562,3300048829 assembled Ga0498908_22520_1_513,,nitrous-oxide reductase,Ga0498908_22520,513,16,2.4480170652493603e-09,3.0,0,0.0,0.0
80583,3300048829 assembled Ga0498908_20064_3_566,,nitrous-oxide reductase,Ga0498908_20064,564,14,1.94832209248902e-09,4.0,0,0.0,0.0
81475,3300048829 assembled Ga0498908_21623_1_546,,nitrous-oxide reductase,Ga0498908_21623,546,19,2.7313212379791103e-09,4.0,0,0.0,0.0
81721,3300048829 assembled Ga0498908_21148_1_528,,nitrous-oxide reductase,Ga0498908_21148,528,13,1.93250778979025e-09,3.0,0,0.0,0.0
82033,3300048829 assembled Ga0498908_77468_3_314,,nitrous-oxide reductase,Ga0498908_77468,312,12,3.01882873671376e-09,6.0,0,0.0,0.0
82123,3300048829 assembled Ga0498908_56654_67_360,,nitrous-oxide reductase,Ga0498908_56654,294,9,2.4027412394252402e-09,4.0,0,0.0,0.0
83179,3300048829 assembled Ga0498908_09327_2_760,,nitrous-oxide reductase,Ga0498908_09327,759,156,1.61322389408577e-08,24.0,0,0.0,0.0
83615,3300048829 assembled Ga0498908_41328_3_410,,nitrous-oxide reductase,Ga0498908_41328,408,15,2.88564511597639e-09,6.0,0,0.0,0.0
85740,3300048829 assembled Ga0498908_76859_1_315,,nitrous-oxide reductase,Ga0498908_76859,315,12,2.9900779868402904e-09,6.0,0,0.0,0.0
85894,3300048829 assembled Ga0498908_53019_2_370,,nitrous-oxide reductase,Ga0498908_53019,369,15,3.19063199815275e-09,6.0,0,0.0,0.0
86103,3300048829 assembled Ga0498908_73550_3_314,,nitrous-oxide reductase,Ga0498908_73550,312,4,1.00627624557125e-09,2.0,0,0.0,0.0
86167,3300048829 assembled Ga0498908_18550_253_585,,nitrous-oxide reductase,Ga0498908_18550,333,25,5.8926086452370605e-09,11.0,0,0.0,0.0
86228,3300048829 assembled Ga0498908_69286_1_318,,nitrous-oxide reductase,Ga0498908_69286,318,8,1.97457980263038e-09,3.0,0,0.0,0.0
88016,3300048829 assembled Ga0498908_46696_1_330,,nitrous-oxide reductase,Ga0498908_46696,330,10,2.37847112589569e-09,4.0,0,0.0,0.0
99787,3300055431 assembled Ga0505481_18241_1_87,,nitrous-oxide reductase,Ga0505481_18241,87,34,2.13759692682569e-08,28.0,0,0.0,0.0
105928,3300055431 assembled Ga0505481_22334_3_542,,nitrous-oxide reductase,Ga0505481_22334,540,115,1.16485061290256e-08,30.0,0,0.0,0.0
106754,3300055431 assembled Ga0505481_20873_2_550,,nitrous-oxide reductase,Ga0505481_20873,549,120,1.19557012300762e-08,29.0,0,0.0,0.0
115126,3300055431 assembled Ga0505481_07668_3_695,,nitrous-oxide reductase,Ga0505481_07668,693,105,8.287474716302791e-09,25.0,0,0.0,0.0
116561,3300055431 assembled Ga0505481_04068_3_1310,,nitrous-oxide reductase,Ga0505481_04068,1308,271,1.13325514354581e-08,23.0,0,0.0,0.0
117024,3300055431 assembled Ga0505481_17810_1_612,,nitrous-oxide reductase,Ga0505481_17810,612,147,1.31380849179035e-08,29.0,22,1.9662440013189e-09,0.0
120711,3300055391 assembled Ga0505482_27803_254_649,,nitrous-oxide reductase,Ga0505482_27803,396,12,1.09894575595067e-09,4.0,2,1.83157625991778e-10,0.0
148662,3300055391 assembled Ga0505482_27182_6_398,,nitrous-oxide reductase,Ga0505482_27182,393,66,6.090340601680811e-09,24.0,0,0.0,0.0
166861,3300048830 assembled Ga0498909_016196_2_784,,nitrous-oxide reductase,Ga0498909_016196,783,139,8.85730016261168e-09,20.0,0,0.0,0.0
167015,3300048830 assembled Ga0498909_152201_3_311,,nitrous-oxide reductase,Ga0498909_152201,309,27,4.35966992008972e-09,11.0,0,0.0,0.0
168405,3300048830 assembled Ga0498909_032817_1_576,,nitrous-oxide reductase,Ga0498909_032817,576,19,1.6458090342622701e-09,5.0,0,0.0,0.0
169514,3300048830 assembled Ga0498909_020964_3_536,,nitrous-oxide reductase,Ga0498909_020964,534,72,6.7272809253818905e-09,18.0,0,0.0,0.0
170802,3300048830 assembled Ga0498909_063226_2_448,,nitrous-oxide reductase,Ga0498909_063226,447,26,2.9021118682575902e-09,8.0,0,0.0,0.0
171099,3300048830 assembled Ga0498909_058506_1_465,,nitrous-oxide reductase,Ga0498909_058506,465,22,2.3605763533866902e-09,5.0,0,0.0,0.0
171923,3300048830 assembled Ga0498909_039669_91_534,,nitrous-oxide reductase,Ga0498909_039669,444,137,1.53952207813779e-08,51.0,0,0.0,0.0
175404,3300048830 assembled Ga0498909_033394_313_582,,nitrous-oxide reductase,Ga0498909_033394,270,16,2.9566814931308104e-09,8.0,0,0.0,0.0
175684,3300048830 assembled Ga0498909_087550_2_394,,nitrous-oxide reductase,Ga0498909_087550,393,22,2.7930483570605902e-09,8.0,0,0.0,0.0
177606,3300048830 assembled Ga0498909_120482_3_347,,nitrous-oxide reductase,Ga0498909_120482,345,14,2.0246840659482702e-09,6.0,0,0.0,0.0
178849,3300048830 assembled Ga0498909_066504_3_185,,nitrous-oxide reductase,Ga0498909_066504,183,9,2.4538032883565103e-09,5.0,0,0.0,0.0
179905,3300048830 assembled Ga0498909_083726_3_401,,nitrous-oxide reductase,Ga0498909_083726,399,9,1.12542857586276e-09,2.0,0,0.0,0.0
182088,3300048830 assembled Ga0498909_074855_1_417,,nitrous-oxide reductase,Ga0498909_074855,417,21,2.5126474919142202e-09,5.0,0,0.0,0.0
182917,3300048830 assembled Ga0498909_162471_2_301,,nitrous-oxide reductase,Ga0498909_162471,300,9,1.4968200058974702e-09,4.0,0,0.0,0.0
184742,3300048830 assembled Ga0498909_149531_2_316,,nitrous-oxide reductase,Ga0498909_149531,315,19,3.0094793769367103e-09,9.0,0,0.0,0.0
185084,3300048830 assembled Ga0498909_023590_348_674,,nitrous-oxide reductase,Ga0498909_023590,327,21,3.2042018474869404e-09,6.0,0,0.0,0.0
185167,3300048830 assembled Ga0498909_116949_23_349,,nitrous-oxide reductase,Ga0498909_116949,327,15,2.28871560534781e-09,5.0,0,0.0,0.0
187500,3300048830 assembled Ga0498909_016717_2_724,,nitrous-oxide reductase,Ga0498909_016717,723,279,1.92537013206729e-08,29.0,0,0.0,0.0
188488,3300048830 assembled Ga0498909_016890_3_755,,nitrous-oxide reductase,Ga0498909_016890,753,319,2.11370332838111e-08,67.0,0,0.0,0.0
188702,3300048830 assembled Ga0498909_092960_3_383,,nitrous-oxide reductase,Ga0498909_092960,381,17,2.22624147858766e-09,7.0,0,0.0,0.0
189258,3300048830 assembled Ga0498909_137021_1_327,,nitrous-oxide reductase,Ga0498909_137021,327,32,4.8825932914086706e-09,13.0,0,0.0,0.0
189745,3300048830 assembled Ga0498909_046614_34_510,,nitrous-oxide reductase,Ga0498909_046614,477,16,1.6735932979985702e-09,5.0,0,0.0,0.0
191866,3300048830 assembled Ga0498909_096171_1_351,,nitrous-oxide reductase,Ga0498909_096171,351,12,1.7057777844985402e-09,5.0,0,0.0,0.0
192344,3300048830 assembled Ga0498909_013267_1_849,,nitrous-oxide reductase,Ga0498909_013267,849,98,5.75926032893412e-09,18.0,0,0.0,0.0
194712,3300048830 assembled Ga0498909_087261_1_393,,nitrous-oxide reductase,Ga0498909_087261,393,28,3.5547888180771103e-09,9.0,0,0.0,0.0
195520,3300048830 assembled Ga0498909_005926_3_641,,nitrous-oxide reductase,Ga0498909_005926,639,53,4.13831300535034e-09,11.0,0,0.0,0.0
195575,3300048830 assembled Ga0498909_034868_2_205,,nitrous-oxide reductase,Ga0498909_034868,204,18,4.40241178205139e-09,9.0,0,0.0,0.0
195598,3300048830 assembled Ga0498909_092316_29_385,,nitrous-oxide reductase,Ga0498909_092316,357,24,3.3542185006105804e-09,10.0,0,0.0,0.0
195877,3300048830 assembled Ga0498909_005172_2_1228,,nitrous-oxide reductase,Ga0498909_005172,1227,175,7.11609619755657e-09,21.0,0,0.0,0.0
197875,3300048830 assembled Ga0498909_142941_2_322,,nitrous-oxide reductase,Ga0498909_142941,321,17,2.6423613811274103e-09,7.0,1,1.5543302241926e-10,0.0
198263,3300048830 assembled Ga0498909_014342_3_788,,nitrous-oxide reductase,Ga0498909_014342,786,81,5.141748111861541e-09,15.0,6,3.80870230508262e-10,0.0
198956,3300048830 assembled Ga0498909_047901_1_504,,nitrous-oxide reductase,Ga0498909_047901,504,35,3.4648611247626603e-09,9.0,0,0.0,0.0
199517,3300048830 assembled Ga0498909_145262_15_320,,nitrous-oxide reductase,Ga0498909_145262,306,13,2.11967974691363e-09,6.0,1,1.63052288224125e-10,0.0
200056,3300048830 assembled Ga0498909_021941_1_693,,nitrous-oxide reductase,Ga0498909_021941,693,63,4.53581819968931e-09,10.0,0,0.0,0.0
200130,3300048830 assembled Ga0498909_159055_2_307,,nitrous-oxide reductase,Ga0498909_159055,306,6,9.78313729344752e-10,3.0,0,0.0,0.0
200278,3300048830 assembled Ga0498909_035728_12_566,,nitrous-oxide reductase,Ga0498909_035728,555,31,2.7868720830523503e-09,6.0,0,0.0,0.0
200347,3300048830 assembled Ga0498909_077270_1_414,,nitrous-oxide reductase,Ga0498909_077270,414,61,7.351531429931221e-09,21.0,0,0.0,0.0
202021,3300048830 assembled Ga0498909_004193_273_1337,,nitrous-oxide reductase,Ga0498909_004193,1065,67,3.1388713738695e-09,7.0,2,9.369765295132839e-11,0.0
206629,3300048830 assembled Ga0498909_029641_2_613,,nitrous-oxide reductase,Ga0498909_029641,612,24,1.9566274586895e-09,4.0,0,0.0,0.0
208809,3300048830 assembled Ga0498909_006930_36_1100,,nitrous-oxide reductase,Ga0498909_006930,1065,89,4.16954555633411e-09,8.0,0,0.0,0.0
209533,3300048830 assembled Ga0498909_065246_1_189,,nitrous-oxide reductase,Ga0498909_065246,189,14,3.6958518664135104e-09,6.0,0,0.0,0.0
